#decimal_day   amplitude     phase
  121.6593       1.031       -0.474
  121.6614       1.016       -0.661
  121.6635       0.992        1.785
  121.6656       1.028       -1.199
  121.6676       0.992       -0.829
  121.6697       0.993       -0.336
  121.6718       1.023       -0.433
  121.6739         nan          nan
  121.6760       1.015        1.227
  121.6781       1.014       -0.422
  121.6801       1.017       -0.698
  121.6822       1.011       -0.068
  121.6843       1.013        1.429
  121.6864       1.038        0.219
  121.6885       0.996        0.136
  121.6906       1.014        0.303
  121.6926       0.981       -0.634
  121.6947       0.979        0.709
  121.6968       0.976       -1.233
  121.6989       1.037        0.509
  122.0499         nan          nan
  122.4020         nan          nan
  122.4051       1.024       -0.112
  122.4083         nan          nan
  122.4114       0.988       -0.452
  122.4135         nan          nan
  122.4166         nan          nan
  122.4197         nan          nan
  122.4218       1.005       -0.558
  122.4239         nan          nan
  122.4260       1.005        1.608
  122.4291         nan          nan
  122.4333         nan          nan
  122.4426         nan          nan
  122.4510       0.986        0.433
  122.4531       0.991       -0.205
  122.4551         nan          nan
  122.5908         nan          nan
  122.7265       1.025        0.594
  122.7286       1.020        0.222
  122.7307       1.014       -0.495
  122.7327       1.023        0.161
  122.7348       1.012        0.265
  122.7369       1.018        0.274
  122.7390       1.017        0.408
  122.7411       1.021        0.319
  122.7431       1.017       -0.108
  122.7452       1.017       -0.244
  122.7473       1.008       -0.020
  122.7494       1.009       -0.323
  122.7515       1.012       -0.178
  122.7536       1.003       -0.387
  122.7557       1.016        0.003
  122.7577       1.016       -0.155
  122.7598       1.018        0.164
  122.7619       1.016        0.255
  122.7640       1.014       -0.065
  122.7661       1.009       -0.085
  122.7682       1.016       -0.164
  122.7702       1.016       -0.029
  122.7723       1.012        0.005
  122.7744       1.013        0.271
  122.7765       1.010        0.170
  122.7786       1.013        0.807
  122.7807       1.005       -0.219
  122.7827       1.017        0.026
  122.7848       1.023        0.147
  122.7869       1.007       -0.255
  122.7890       1.014        0.130
  122.7911       1.010        0.125
  122.7931       1.015        0.337
  122.7952       1.006        0.213
  122.7973       1.017        0.440
  122.7994       1.009        0.069
  122.8015       1.008       -0.075
  122.8036       1.018       -0.069
  122.8057       1.014        0.072
  122.8077       1.013        0.380
  122.8098       1.016       -0.145
  122.8119       1.011        0.167
  122.8140       1.014       -1.494
  122.8161       1.010        0.124
  122.8182       1.023        1.271
  122.8202       1.014       -0.178
  122.8223       1.015        0.007
  122.8244       1.015        0.214
  122.8265       1.008        0.633
  122.8286       1.013        0.313
  122.8306       1.011        0.443
  122.8327       1.003       -0.192
  122.8348       1.006       -0.084
  122.8369       1.015        0.663
  122.8390       1.009       -0.053
  122.8411       1.001       -0.652
  122.8432         nan          nan
  122.8452       1.013        1.705
  122.8473       1.018        0.090
  122.8494       1.005        0.095
  122.8515       1.014        0.520
  122.8536       1.008       -0.273
