#decimal_day   amplitude     phase
  123.0230       1.025       -0.266
  123.0670       1.119        1.345
  124.5070       1.012       -0.319
  124.7230       1.019       -0.261
  124.7610       1.021        3.828
  124.9130       1.017       -0.426
  124.9880       1.084       -2.042
  125.2590       1.026        0.616
  125.2860       1.028       -0.229
  125.7110       1.011        0.575
  125.7820       1.047        1.631
  125.8590       0.991        0.480
  125.8860       0.969       -1.443
  125.9420       1.016        1.265
  125.9980       1.017        0.016
  126.7060       1.338        1.674
  126.7210       1.140       -3.991
  126.7980       1.016        0.387
  126.8960       1.014        0.239
  126.9460       1.017        0.846
  127.0350       1.004       -0.483
  127.0480       1.008        0.542
  127.1390       1.099        2.047
  127.2770       0.988       -1.850
  127.6620       1.025        0.757
