%  dbname: ../adcpdb/a_sp  output: a_sp_npings.txt  step_size= 1  year_base= 2024
%
%       Time        NPings   NSecs

  121.641586          79        180.0
  121.643681          79        180.0
  121.645764          79        180.0
  121.647847          79        180.0
  121.649931          79        180.0
  121.652014          79        180.0
  121.654097          79        180.0
  121.656181          79        180.0
  121.658264          79        180.0
  121.660347          79        180.0
  121.662431          79        180.0
  121.664514          79        180.0
  121.666597          79        180.0
  121.668681          79        180.0
  121.670764          79        180.0
  121.672859          79        180.0
  121.674931          79        180.0
  121.677014          79        180.0
  121.679109          79        180.0
  121.681192          79        180.0
  121.683252          78        180.0
  121.685347          79        180.0
  121.687419          79        180.0
  121.689525          79        180.0
  121.691597          78        180.0
  121.693692          79        180.0
  121.695764          78        180.0
  121.697847          77        180.0
  121.699942          77        180.0
  121.702014          76        180.0
  121.704097          78        180.0
  121.706181          77        180.0
  121.708252          77        180.0
  121.710347          77        180.0
  121.712442          78        180.0
  121.714525          77        180.0
  121.716597          77        180.0
  121.718692          78        180.0
  121.720764          77        180.0
  121.722847          78        180.0
  121.724919          78        180.0
  121.727014          78        180.0
  121.729086          78        180.0
  121.731181          78        180.0
  121.733275          78        180.0
  121.735336          77        180.0
  121.737431          78        180.0
  121.739514          77        180.0
  121.741586          77        180.0
  121.743681          78        180.0
  121.745775          78        180.0
  121.747836          77        180.0
  121.749919          78        180.0
  121.752025          79        180.0
  121.754097          77        180.0
  121.756181          78        180.0
  121.758275          78        180.0
  121.760336          77        180.0
  121.762419          78        180.0
  121.764514          78        180.0
  121.766609          78        180.0
  121.768669          77        180.0
  121.770764          78        180.0
  121.772859          78        180.0
  121.774931          77        180.0
  121.777014          78        180.0
  121.779086          77        180.0
  121.781181          78        180.0
  121.783275          78        180.0
  121.785336          77        180.0
  121.787431          78        180.0
  121.789502          77        180.0
  121.791597          78        180.0
  121.793692          78        180.0
  121.795764          77        180.0
  121.797859          78        180.0
  121.799919          77        180.0
  121.802025          79        180.0
  121.804097          77        180.0
  121.806192          78        180.0
  121.808252          77        180.0
  121.810359          79        180.0
  121.812442          78        180.0
  121.814514          77        180.0
  121.816609          78        180.0
  121.818669          77        180.0
  121.820764          78        180.0
  121.822859          78        180.0
  121.824919          77        180.0
  121.827025          78        180.0
  121.829109          78        180.0
  121.831181          77        180.0
  121.833264          78        180.0
  121.835336          77        180.0
  121.837431          78        180.0
  121.839525          78        180.0
  121.841586          77        180.0
  121.843681          78        180.0
  121.845775          78        180.0
  121.847847          77        180.0
  121.849931          77        180.0
  121.852025          78        180.0
  121.854097          77        180.0
  121.856192          78        180.0
  121.858275          78        180.0
  121.860347          77        180.0
  121.862431          78        180.0
  121.864525          78        180.0
  121.866609          78        180.0
  121.868681          77        180.0
  121.870764          78        180.0
  121.872859          78        180.0
  121.874931          77        180.0
  121.877025          78        180.0
  121.879086          77        180.0
  121.881181          78        180.0
  121.883275          78        180.0
  121.885359          78        180.0
  121.887442          78        180.0
  121.889502          77        180.0
  121.891597          78        180.0
  121.893692          78        180.0
  121.895775          78        180.0
  121.897836          77        180.0
  121.899931          78        180.0
  121.902025          78        180.0
  121.904109          78        180.0
  121.906181          77        180.0
  121.908275          78        180.0
  121.910336          77        180.0
  121.912419          78        180.0
  121.914502          78        180.0
  121.916586          78        180.0
  121.918669          78        180.0
  121.920764          78        180.0
  121.922859          78        180.0
  121.924942          78        180.0
  121.927002          77        180.0
  121.929097          78        180.0
  121.931192          78        180.0
  121.933252          77        180.0
  121.935347          78        180.0
  121.937442          78        180.0
  121.939502          77        180.0
  121.941597          78        180.0
  121.943692          78        180.0
  121.945752          77        180.0
  121.947847          78        180.0
  121.949919          77        180.0
  121.952014          78        180.0
  121.954109          78        180.0
  121.956169          77        180.0
  121.958264          78        180.0
  121.960359          78        180.0
  121.962431          78        180.0
  121.964514          78        180.0
  121.966586          77        180.0
  121.968681          78        180.0
  121.970775          78        180.0
  121.972836          77        180.0
  121.974931          78        180.0
  121.977025          78        180.0
